Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,types_de_sols
Dakar,Arachide,1994,7999,89.0,1255.02,17.88,Sableux
Dakar,Mais,1995,16115,89.0,2697.09,17.36,Sableux
Dakar,Pattate,1995,136768,89.0,2697.09,17.36,Limoneux
Dakar,Rice,1995,19598,89.0,2697.09,17.36,Sableux
Dakar,Sorgho,1995,12667,89.0,2697.09,17.36,Limoneux
Dakar,Arachide,1995,8924,89.0,2697.09,17.36,Limoneux
Dakar,Mais,1996,17154,89.0,479.77,16.76,Argileux
Dakar,Pattate,1996,134629,89.0,479.77,16.76,Sableux
Dakar,Rice,1996,17861,89.0,479.77,16.76,Sableux
Dakar,Sorgho,1996,14750,89.0,479.77,16.76,Argileux
Dakar,Arachide,1996,13090,89.0,479.77,16.76,Argileux
Dakar,Mais,1997,21417,89.0,401.22,17.84,Sableux
Dakar,Pattate,1997,141042,89.0,401.22,17.84,Limoneux
Dakar,Rice,1997,15000,89.0,401.22,17.84,Argileux
Dakar,Sorgho,1997,40000,89.0,401.22,17.84,Argileux
Dakar,Arachide,1997,8016,89.0,401.22,17.84,Sableux
Dakar,Mais,1998,17222,89.0,322.84,17.14,Argileux
Dakar,Pattate,1998,160256,89.0,322.84,17.14,Argileux
Dakar,Rice,1998,15000,89.0,322.84,17.14,Argileux
Dakar,Sorgho,1998,24500,89.0,322.84,17.14,Argileux
Dakar,Arachide,1998,8847,89.0,322.84,17.14,Sableux
Dakar,Mais,1999,22375,89.0,654.45,17.97,Argileux
Dakar,Pattate,1999,153532,89.0,654.45,17.97,Limoneux
Dakar,Rice,1999,13942,89.0,654.45,17.97,Limoneux
Dakar,Sorgho,1999,27000,89.0,654.45,17.97,Argileux
Dakar,Arachide,1999,10711,89.0,654.45,17.97,Sableux
Dakar,Mais,2000,36186,89.0,603.67,17.9,Argileux
Dakar,Pattate,2000,166143,89.0,603.67,17.9,Argileux
Dakar,Rice,2000,13052,89.0,603.67,17.9,Argileux
Dakar,Sorgho,2000,69500,89.0,603.67,17.9,Argileux
Dakar,Arachide,2000,9194,89.0,603.67,17.9,Sableux
Dakar,Mais,2001,27175,89.0,710.11,18.13,Limoneux
Dakar,Pattate,2001,147018,89.0,710.11,18.13,Argileux
Dakar,Rice,2001,12314,89.0,710.11,18.13,Limoneux
Dakar,Sorgho,2001,27750,89.0,710.11,18.13,Sableux
Dakar,Arachide,2001,11104,89.0,710.11,18.13,Argileux
Dakar,Mais,2002,33480,89.0,816.55,17.85,Sableux
Dakar,Pattate,2002,183774,89.0,816.55,17.85,Argileux
Dakar,Rice,2002,12959,89.0,816.55,17.85,Sableux
Dakar,Sorgho,2002,33900,89.0,816.55,17.85,Limoneux
Dakar,Arachide,2002,10739,89.0,816.55,17.85,Sableux
Dakar,Mais,2004,31729,89.0,3747.86,17.38,Argileux
Dakar,Pattate,2004,203585,89.0,3747.86,17.38,Limoneux
Dakar,Rice,2004,12829,89.0,3747.86,17.38,Argileux
Dakar,Sorgho,2004,43316,89.0,3747.86,17.38,Limoneux
Dakar,Arachide,2004,13582,89.0,3747.86,17.38,Sableux
Dakar,Mais,2005,33864,89.0,3662.87,17.19,Limoneux
Dakar,Pattate,2005,216267,89.0,3662.87,17.19,Limoneux
Dakar,Rice,2005,12998,89.0,3662.87,17.19,Sableux
Dakar,Sorgho,2005,33486,89.0,3662.87,17.19,Argileux
Dakar,Arachide,2005,15057,89.0,3662.87,17.19,Limoneux
Dakar,Mais,2006,65668,89.0,4110.72,18.13,Sableux
Dakar,Pattate,2006,220689,89.0,4110.72,18.13,Sableux
Dakar,Rice,2006,12769,89.0,4110.72,18.13,Limoneux
Dakar,Sorgho,2006,56728,89.0,4110.72,18.13,Sableux
Dakar,Arachide,2006,15068,89.0,4110.72,18.13,Argileux
Dakar,Mais,2007,85625,89.0,5390.79,17.42,Argileux
Dakar,Pattate,2007,189927,89.0,5390.79,17.42,Limoneux
Dakar,Rice,2007,13375,89.0,5390.79,17.42,Sableux
Dakar,Sorgho,2007,119059,89.0,5390.79,17.42,Argileux
Dakar,Arachide,2007,12742,89.0,5390.79,17.42,Sableux
Dakar,Mais,2008,44714,89.0,11556.12,17.55,Sableux
Dakar,Pattate,2008,236393,89.0,11556.12,17.55,Sableux
Dakar,Rice,2008,13952,89.0,11556.12,17.55,Sableux
Dakar,Sorgho,2008,61786,89.0,11556.12,17.55,Argileux
Dakar,Arachide,2008,11038,89.0,11556.12,17.55,Argileux
Dakar,Mais,2009,30914,89.0,3867.99,17.78,Limoneux
Dakar,Pattate,2009,250764,89.0,3867.99,17.78,Sableux
Dakar,Rice,2009,14594,89.0,3867.99,17.78,Sableux
Dakar,Sorgho,2009,90465,89.0,3867.99,17.78,Sableux
Dakar,Arachide,2009,15975,89.0,3867.99,17.78,Sableux
Dakar,Mais,2010,25827,89.0,1295.88,17.59,Limoneux
Dakar,Pattate,2010,270526,89.0,1295.88,17.59,Sableux
Dakar,Rice,2010,15305,89.0,1295.88,17.59,Limoneux
Dakar,Sorgho,2010,30286,89.0,1295.88,17.59,Limoneux
Dakar,Arachide,2010,14838,89.0,1295.88,17.59,Limoneux
Dakar,Mais,2011,23374,89.0,13861.76,17.79,Limoneux
Dakar,Pattate,2011,292806,89.0,13861.76,17.79,Limoneux
Dakar,Rice,2011,16081,89.0,13861.76,17.79,Sableux
Dakar,Sorgho,2011,100000,89.0,13861.76,17.79,Argileux
Dakar,Arachide,2011,17405,89.0,13861.76,17.79,Argileux
Dakar,Mais,2012,25583,89.0,17379.76,17.91,Limoneux
Dakar,Pattate,2012,304291,89.0,17379.76,17.91,Sableux
Dakar,Rice,2012,16667,89.0,17379.76,17.91,Limoneux
Dakar,Sorgho,2012,206000,89.0,17379.76,17.91,Sableux
Dakar,Arachide,2012,17639,89.0,17379.76,17.91,Sableux
Dakar,Mais,2013,33649,89.0,17278.65,17.65,Argileux
Dakar,Pattate,2013,303218,89.0,17278.65,17.65,Sableux
Dakar,Rice,2013,17778,89.0,17278.65,17.65,Limoneux
Dakar,Sorgho,2013,60000,89.0,17278.65,17.65,Limoneux
Dakar,Arachide,2013,19100,89.0,17278.65,17.65,Sableux
Thiès,Fonio,1990,41177,1010.0,64.0,24.12,Argileux
Thiès,Mais,1990,2736,1010.0,64.0,24.12,Sableux
Thiès,Pattate,1990,40000,1010.0,64.0,24.12,Limoneux
Thiès,Rice,1990,9512,1010.0,64.0,24.12,Limoneux
Thiès,Manioc,1990,89342,1010.0,64.0,24.12,Sableux
Thiès,Arachide,1990,7995,1010.0,64.0,24.12,Sableux
Thiès,Fonio,1991,40295,1010.0,79.0,24.02,Limoneux
Thiès,Mais,1991,4013,1010.0,79.0,24.02,Argileux
Thiès,Pattate,1991,40000,1010.0,79.0,24.02,Sableux
Thiès,Rice,1991,10000,1010.0,79.0,24.02,Limoneux
Thiès,Manioc,1991,83001,1010.0,79.0,24.02,Argileux
Thiès,Arachide,1991,8000,1010.0,79.0,24.02,Argileux
Thiès,Fonio,1992,42295,1010.0,23.0,23.96,Limoneux
Thiès,Mais,1992,3778,1010.0,23.0,23.96,Argileux
Thiès,Pattate,1992,40000,1010.0,23.0,23.96,Limoneux
Thiès,Rice,1992,9106,1010.0,23.0,23.96,Limoneux
Thiès,Manioc,1992,90000,1010.0,23.0,23.96,Sableux
Thiès,Arachide,1992,8000,1010.0,23.0,23.96,Limoneux
Thiès,Fonio,1993,42295,1010.0,169.0,24.15,Argileux
Thiès,Mais,1993,2627,1010.0,169.0,24.15,Argileux
Thiès,Pattate,1993,70000,1010.0,169.0,24.15,Limoneux
Thiès,Rice,1993,8000,1010.0,169.0,24.15,Sableux
Thiès,Manioc,1993,88095,1010.0,169.0,24.15,Argileux
Thiès,Arachide,1993,8876,1010.0,169.0,24.15,Argileux
Thiès,Fonio,1994,58596,1010.0,25.5,24.04,Sableux
Thiès,Mais,1994,2463,1010.0,25.5,24.04,Limoneux
Thiès,Pattate,1994,90000,1010.0,25.5,24.04,Limoneux
Thiès,Rice,1994,8750,1010.0,25.5,24.04,Limoneux
Thiès,Manioc,1994,83192,1010.0,25.5,24.04,Sableux
Thiès,Arachide,1994,10000,1010.0,25.5,24.04,Limoneux
Thiès,Fonio,1995,51000,1010.0,336.0,24.56,Limoneux
Thiès,Mais,1995,3517,1010.0,336.0,24.56,Limoneux
Thiès,Pattate,1995,76738,1010.0,336.0,24.56,Limoneux
Thiès,Rice,1995,14615,1010.0,336.0,24.56,Argileux
Thiès,Manioc,1995,81138,1010.0,336.0,24.56,Argileux
Thiès,Arachide,1995,11855,1010.0,336.0,24.56,Argileux
Thiès,Fonio,1996,48077,1010.0,40.0,24.11,Limoneux
Thiès,Mais,1996,6993,1010.0,40.0,24.11,Argileux
Thiès,Pattate,1996,70000,1010.0,40.0,24.11,Limoneux
Thiès,Rice,1996,17500,1010.0,40.0,24.11,Limoneux
Thiès,Manioc,1996,85455,1010.0,40.0,24.11,Argileux
Thiès,Arachide,1996,13738,1010.0,40.0,24.11,Argileux
Thiès,Fonio,1997,44205,1010.0,40.0,24.06,Argileux
Thiès,Mais,1997,5959,1010.0,40.0,24.06,Sableux
Thiès,Pattate,1997,68571,1010.0,40.0,24.06,Argileux
Thiès,Rice,1997,20000,1010.0,40.0,24.06,Limoneux
Thiès,Manioc,1997,78098,1010.0,40.0,24.06,Limoneux
Thiès,Arachide,1997,15509,1010.0,40.0,24.06,Sableux
Thiès,Fonio,1998,55728,1010.0,40.0,24.96,Argileux
Thiès,Mais,1998,7396,1010.0,40.0,24.96,Sableux
Thiès,Pattate,1998,62724,1010.0,40.0,24.96,Argileux
Thiès,Rice,1998,20000,1010.0,40.0,24.96,Sableux
Thiès,Manioc,1998,76256,1010.0,40.0,24.96,Limoneux
Thiès,Arachide,1998,17143,1010.0,40.0,24.96,Argileux
Thiès,Fonio,1999,59821,1010.0,40.0,24.37,Argileux
Thiès,Mais,1999,6361,1010.0,40.0,24.37,Sableux
Thiès,Pattate,1999,54597,1010.0,40.0,24.37,Sableux
Thiès,Rice,1999,14235,1010.0,40.0,24.37,Limoneux
Thiès,Manioc,1999,82865,1010.0,40.0,24.37,Limoneux
Thiès,Arachide,1999,17391,1010.0,40.0,24.37,Limoneux
Thiès,Fonio,2000,82992,1010.0,40.0,24.41,Limoneux
Thiès,Mais,2000,5745,1010.0,40.0,24.41,Argileux
Thiès,Pattate,2000,29885,1010.0,40.0,24.41,Argileux
Thiès,Rice,2000,13454,1010.0,40.0,24.41,Sableux
Thiès,Sorgho,2000,3333,1010.0,40.0,24.41,Argileux
Thiès,Mil,2000,2333,1010.0,40.0,24.41,Argileux
Thiès,Manioc,2000,34938,1010.0,40.0,24.41,Sableux
Thiès,Arachide,2000,17023,1010.0,40.0,24.41,Limoneux
Thiès,Fonio,2001,94072,1010.0,40.0,24.43,Limoneux
Thiès,Mais,2001,5754,1010.0,40.0,24.43,Sableux
Thiès,Pattate,2001,42552,1010.0,40.0,24.43,Argileux
Thiès,Rice,2001,13701,1010.0,40.0,24.43,Limoneux
Thiès,Sorgho,2001,3571,1010.0,40.0,24.43,Argileux
Thiès,Mil,2001,2500,1010.0,40.0,24.43,Argileux
Thiès,Manioc,2001,44458,1010.0,40.0,24.43,Argileux
Thiès,Arachide,2001,16667,1010.0,40.0,24.43,Argileux
Thiès,Fonio,2002,110071,1010.0,40.0,24.79,Limoneux
Thiès,Mais,2002,6706,1010.0,40.0,24.79,Argileux
Thiès,Pattate,2002,42754,1010.0,40.0,24.79,Argileux
Thiès,Rice,2002,13198,1010.0,40.0,24.79,Argileux
Thiès,Sorgho,2002,3400,1010.0,40.0,24.79,Sableux
Thiès,Mil,2002,2857,1010.0,40.0,24.79,Argileux
Thiès,Manioc,2002,42190,1010.0,40.0,24.79,Limoneux
Thiès,Arachide,2002,15455,1010.0,40.0,24.79,Sableux
Thiès,Fonio,2004,125605,1010.0,40.0,24.22,Sableux
Thiès,Mais,2004,5404,1010.0,40.0,24.22,Argileux
Thiès,Pattate,2004,20150,1010.0,40.0,24.22,Limoneux
Thiès,Rice,2004,11584,1010.0,40.0,24.22,Sableux
Thiès,Sorgho,2004,3333,1010.0,40.0,24.22,Sableux
Thiès,Mil,2004,3600,1010.0,40.0,24.22,Argileux
Thiès,Manioc,2004,45360,1010.0,40.0,24.22,Argileux
Thiès,Arachide,2004,12442,1010.0,40.0,24.22,Limoneux
Thiès,Fonio,2005,117628,1010.0,40.0,24.41,Limoneux
Thiès,Mais,2005,6736,1010.0,40.0,24.41,Sableux
Thiès,Pattate,2005,23646,1010.0,40.0,24.41,Sableux
Thiès,Rice,2005,6977,1010.0,40.0,24.41,Limoneux
Thiès,Sorgho,2005,3333,1010.0,40.0,24.41,Sableux
Thiès,Mil,2005,3793,1010.0,40.0,24.41,Limoneux
Thiès,Manioc,2005,46159,1010.0,40.0,24.41,Limoneux
Thiès,Arachide,2005,10946,1010.0,40.0,24.41,Sableux
Thiès,Fonio,2006,117201,1010.0,40.0,24.14,Argileux
Thiès,Mais,2006,4687,1010.0,40.0,24.14,Sableux
Thiès,Pattate,2006,52148,1010.0,40.0,24.14,Argileux
Thiès,Rice,2006,4947,1010.0,40.0,24.14,Sableux
Thiès,Sorgho,2006,4091,1010.0,40.0,24.14,Limoneux
Thiès,Mil,2006,4286,1010.0,40.0,24.14,Limoneux
Thiès,Manioc,2006,44240,1010.0,40.0,24.14,Limoneux
Thiès,Arachide,2006,10000,1010.0,40.0,24.14,Argileux
Thiès,Fonio,2007,115387,1010.0,40.0,24.24,Limoneux
Thiès,Mais,2007,5091,1010.0,40.0,24.24,Limoneux
Thiès,Pattate,2007,62138,1010.0,40.0,24.24,Sableux
Thiès,Rice,2007,5143,1010.0,40.0,24.24,Argileux
Thiès,Sorgho,2007,4031,1010.0,40.0,24.24,Argileux
Thiès,Mil,2007,6883,1010.0,40.0,24.24,Sableux
Thiès,Manioc,2007,58855,1010.0,40.0,24.24,Argileux
Thiès,Arachide,2007,10000,1010.0,40.0,24.24,Sableux
Thiès,Fonio,2008,148084,1010.0,40.0,24.27,Argileux
Thiès,Mais,2008,7946,1010.0,40.0,24.27,Sableux
Thiès,Pattate,2008,85085,1010.0,40.0,24.27,Argileux
Thiès,Rice,2008,5084,1010.0,40.0,24.27,Limoneux
Thiès,Sorgho,2008,929,1010.0,40.0,24.27,Limoneux
Thiès,Mil,2008,8575,1010.0,40.0,24.27,Limoneux
Thiès,Manioc,2008,65437,1010.0,40.0,24.27,Limoneux
Thiès,Arachide,2008,10000,1010.0,40.0,24.27,Sableux
Thiès,Fonio,2009,151759,1010.0,40.0,24.33,Argileux
Thiès,Mais,2009,6614,1010.0,40.0,24.33,Sableux
Thiès,Pattate,2009,86509,1010.0,40.0,24.33,Limoneux
Thiès,Rice,2009,6028,1010.0,40.0,24.33,Argileux
Thiès,Sorgho,2009,2480,1010.0,40.0,24.33,Sableux
Thiès,Mil,2009,4449,1010.0,40.0,24.33,Argileux
Thiès,Manioc,2009,66475,1010.0,40.0,24.33,Limoneux
Thiès,Arachide,2009,10000,1010.0,40.0,24.33,Sableux
Thiès,Fonio,2010,155782,1010.0,40.0,24.44,Limoneux
Thiès,Mais,2010,7200,1010.0,40.0,24.44,Limoneux
Thiès,Pattate,2010,87425,1010.0,40.0,24.44,Limoneux
Thiès,Rice,2010,7403,1010.0,40.0,24.44,Sableux
Thiès,Sorgho,2010,2814,1010.0,40.0,24.44,Sableux
Thiès,Mil,2010,4446,1010.0,40.0,24.44,Limoneux
Thiès,Manioc,2010,63001,1010.0,40.0,24.44,Sableux
Thiès,Arachide,2010,10526,1010.0,40.0,24.44,Sableux
Thiès,Fonio,2011,133649,1010.0,40.0,24.15,Argileux
Thiès,Mais,2011,7376,1010.0,40.0,24.15,Sableux
Thiès,Pattate,2011,81366,1010.0,40.0,24.15,Limoneux
Thiès,Rice,2011,8914,1010.0,40.0,24.15,Sableux
Thiès,Sorgho,2011,3320,1010.0,40.0,24.15,Limoneux
Thiès,Mil,2011,5294,1010.0,40.0,24.15,Sableux
Thiès,Manioc,2011,65512,1010.0,40.0,24.15,Sableux
Thiès,Arachide,2011,10959,1010.0,40.0,24.15,Sableux
Thiès,Fonio,2012,100073,1010.0,40.0,24.24,Argileux
Thiès,Mais,2012,7770,1010.0,40.0,24.24,Argileux
Thiès,Pattate,2012,69381,1010.0,40.0,24.24,Argileux
Thiès,Rice,2012,7703,1010.0,40.0,24.24,Sableux
Thiès,Sorgho,2012,998,1010.0,40.0,24.24,Limoneux
Thiès,Mil,2012,1641,1010.0,40.0,24.24,Argileux
Thiès,Manioc,2012,52954,1010.0,40.0,24.24,Sableux
Thiès,Arachide,2012,11258,1010.0,40.0,24.24,Sableux
Thiès,Fonio,2013,140517,1010.0,40.0,24.55,Limoneux
Thiès,Mais,2013,9467,1010.0,40.0,24.55,Sableux
Thiès,Pattate,2013,63303,1010.0,40.0,24.55,Argileux
Thiès,Rice,2013,12744,1010.0,40.0,24.55,Limoneux
Thiès,Sorgho,2013,2415,1010.0,40.0,24.55,Sableux
Thiès,Mil,2013,4405,1010.0,40.0,24.55,Argileux
Thiès,Manioc,2013,73409,1010.0,40.0,24.55,Limoneux
Thiès,Arachide,2013,9022,1010.0,40.0,24.55,Argileux
Thiès,Fonio,1990,100000,591.0,26156.0,17.46,Sableux
Thiès,Fonio,1990,100000,591.0,26156.0,17.67,Argileux
Thiès,Mais,1990,34608,591.0,26156.0,17.46,Limoneux
Thiès,Mais,1990,34608,591.0,26156.0,17.67,Limoneux
Thiès,Pattate,1990,202747,591.0,26156.0,17.46,Sableux
Thiès,Pattate,1990,202747,591.0,26156.0,17.67,Sableux
Thiès,Rice,1990,36709,591.0,26156.0,17.46,Limoneux
Thiès,Rice,1990,36709,591.0,26156.0,17.67,Sableux
Thiès,Sorgho,1990,28116,591.0,26156.0,17.46,Argileux
Thiès,Sorgho,1990,28116,591.0,26156.0,17.67,Sableux
Thiès,Mil,1990,21566,591.0,26156.0,17.46,Argileux
Thiès,Mil,1990,21566,591.0,26156.0,17.67,Sableux
Thiès,Manioc,1990,131864,591.0,26156.0,17.46,Limoneux
Thiès,Manioc,1990,131864,591.0,26156.0,17.67,Sableux
Thiès,Arachide,1990,18947,591.0,26156.0,17.46,Sableux
Thiès,Arachide,1990,18947,591.0,26156.0,17.67,Sableux
Thiès,Fonio,1991,100000,591.0,26156.0,17.64,Argileux
Thiès,Fonio,1991,100000,591.0,26156.0,17.86,Sableux
Thiès,Mais,1991,40444,591.0,26156.0,17.64,Sableux
Thiès,Mais,1991,40444,591.0,26156.0,17.86,Sableux
Thiès,Pattate,1991,205692,591.0,26156.0,17.64,Sableux
Thiès,Pattate,1991,205692,591.0,26156.0,17.86,Sableux
Thiès,Rice,1991,40294,591.0,26156.0,17.64,Argileux
Thiès,Rice,1991,40294,591.0,26156.0,17.86,Argileux
Thiès,Sorgho,1991,33320,591.0,26156.0,17.64,Limoneux
Thiès,Sorgho,1991,33320,591.0,26156.0,17.86,Sableux
Thiès,Mil,1991,22750,591.0,26156.0,17.64,Sableux
Thiès,Mil,1991,22750,591.0,26156.0,17.86,Sableux
Thiès,Manioc,1991,131364,591.0,26156.0,17.64,Argileux
Thiès,Manioc,1991,131364,591.0,26156.0,17.86,Argileux
Thiès,Arachide,1991,18972,591.0,26156.0,17.64,Argileux
